n,Group,cross_entropy
1,Agent,8.126408029444457
1,Agent,11.040303020138362
1,Agent,7.574346944823713
1,Agent,9.691213053134462
1,Agent,6.414705852527283
1,Agent,10.092866683551096
1,Agent,9.315433893012303
1,Agent,9.945723119062784
1,Agent,9.589929805240967
1,Agent,5.576972017754381
1,Agent,9.120314313944851
1,Agent,11.54352150328211
1,Agent,10.670151369194757
1,Agent,9.257895463315586
1,Agent,8.449233310152618
1,Agent,3.6033686158184124
1,Agent,7.653496678759705
1,Agent,9.4529201092041
1,Agent,10.526664279530516
1,Agent,6.990949496747282
1,Agent,14.295984117512994
1,Agent,9.352977425899411
1,Agent,10.705921812014962
1,Agent,8.502775636727405
1,Agent,11.818276015661132
1,Agent,9.937182025823667
1,Agent,7.209898350021006
1,Agent,10.160142123055126
1,Agent,10.222499178938072
1,Agent,9.321236738172782
1,Agent,9.245301744069033
1,Agent,7.719966761094346
1,Agent,9.71338269663087
1,Agent,10.480498660713376
1,Agent,8.821923678917244
1,Agent,10.771430493744832
1,Agent,7.3081682878380985
1,Agent,9.973511644752058
1,Agent,11.536414928750247
1,Agent,9.039447910304098
1,Agent,8.624905840364868
1,Agent,8.901610998763218
1,Agent,9.68655229759559
1,Agent,6.131905484046794
1,Agent,9.700798340060064
1,Agent,10.09958690470949
1,Agent,9.91676991996994
1,Agent,8.998051330676835
1,Agent,7.39367346041947
1,Agent,8.968978598298293
1,Agent,9.632554134991429
1,Agent,10.368648549747974
1,Agent,9.372936760018932
1,Agent,10.36481568816723
1,Agent,9.357178793347734
1,Agent,9.93558208437926
1,Agent,9.235578085737531
1,Agent,8.391884787894304
1,Agent,10.157690468061457
1,Agent,8.539372692453037
1,Agent,9.403449282987498
1,Agent,10.141550861289115
1,Agent,8.76844772921917
1,Agent,10.049397175196518
1,Agent,9.901368557786478
1,Agent,10.571231124416157
1,Agent,3.603368615818413
1,Agent,7.509918636907311
1,Agent,10.997205156957053
1,Agent,8.470074003608929
1,Agent,9.049145495020285
1,Agent,6.0265224912420585
1,Agent,9.107013019847814
1,Agent,11.498544976586738
1,Agent,9.22824811214714
1,Agent,3.603368615818413
1,Agent,9.49324361221764
1,Agent,10.32281455614922
1,Agent,8.140302348070756
1,Agent,9.567327913288965
1,Agent,6.665755596093894
1,Agent,6.128207183758368
1,Agent,9.934967455198452
1,Agent,7.2883109397932255
1,Agent,9.918737360119227
1,Agent,13.880946618234148
1,Agent,6.006700846491274
1,Agent,10.534806707035047
1,Agent,5.559430971244424
1,Agent,12.25916731190562
1,Agent,3.6033686158184133
1,Agent,8.905949946213582
1,Agent,11.617210764090817
1,Agent,9.117098134365696
1,Agent,11.076885176815257
1,Agent,9.498661753188694
1,Agent,10.414052115392487
1,Agent,7.779145991245289
1,Agent,8.842481784904942
1,Agent,9.182534061297986
1,Agent,3.603368615818413
1,Agent,10.79840330567088
1,Agent,9.789466700709822
1,Agent,9.505787053535549
1,Agent,9.161627240679119
1,Agent,9.613305403254033
1,Agent,8.607900402451499
1,Agent,8.287645384710702
1,Agent,7.1675737830499395
1,Agent,10.233817096838589
1,Agent,6.808560094278774
1,Agent,10.458535191247194
1,Agent,9.320967314488893
1,Agent,9.888450754346144
1,Agent,6.9259601129483555
1,Agent,9.349976033864573
1,Agent,9.450591614699487
1,Agent,10.903520215430255
1,Agent,9.581550273150347
1,Agent,4.208384550129708
1,Agent,10.449019673865978
1,Agent,10.540909338538121
1,Agent,11.66714356484208
1,Agent,8.45151746374483
1,Agent,9.22097203577491
1,Agent,9.185968976743036
1,Agent,7.00931623631247
1,Agent,9.17812426780024
1,Agent,9.724381367106522
1,Agent,11.930363604428797
1,Agent,3.6033686158184124
1,Agent,10.099030280726462
1,Agent,9.681111252466449
1,Agent,10.07924042121287
1,Agent,8.087324681291562
1,Agent,8.71738194721709
1,Agent,3.6571158836595776
1,Agent,10.224534937324655
1,Agent,8.8341489832414
1,Agent,12.39083257331814
1,Agent,8.167310471407438
1,Agent,9.471316015626927
1,Agent,10.263798297845343
1,Agent,10.009120865010445
